商品代码,商品名称,商品规格代码,商品规格名称,商品标签,仓库,数量,商品单位,库存重量,可销数,可销售天数,在途数,安全库存下限,安全库存上限,订单占用数,可配数,未付款数,锁定数,库位,商品条码,商品简称,商品备注,规格备注,库存状态,商品分类,商品税号,供应商,保质期,有效日期,生产日期,供应商货号,品牌,商品建档日期,箱规,标准进价,最新采购价,最新采购供应商,成本价格,销售价格,成本总金额,销售总金额,近3日销量,近7日销量,近15日销量,近30日销量
RZRWZJZXM6ZN25	,荣造舰载熊猫6周年限定款	,,	,,北京仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,	,	,	,,,,	,,,,,,荣造	,2025-12-29 15:50:18,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ255M5069000	,连云港悟空帽子-58	,,	,,北京仓	,0,,0.0,0, 	,150.0,0,,0.0,0,0,0.0,,RZ255M5069000	,	,	,,,,	,,,,,,荣造	,2025-10-24 17:16:30,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZGZPJJZXM00125	,舰载熊猫公仔配件001	,,	,,北京仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,	,	,	,,,,	,,,,,,荣造	,2025-12-26 12:03:33,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ245M5052054524	,弹射飞鲨帽-54	,,	,,荣造仓	,50,,0.0,50, 	,0.0,0,,0.0,50,0,0.0,,RZ245M5052054524	,	,	,,,舰帽	,	,,,,,,荣造	,2025-11-13 14:49:51,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ255M5088062108	,J-20系列飞行帽-62	,,	,,北京仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ255M5088062108	,	,	,,,,	,,,,,,,2025-09-30 12:14:46,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ246Z001000	,舰载飞行斜挎单肩包套装	,,	,,残次仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ246Z001000	,	,	,,,,	,,,,,,荣造	,2024-05-17 16:01:28,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZRWZJZXM6ZN25	,荣造舰载熊猫6周年限定款	,,	,,公司仓	,51,,0.0,51, 	,0.0,0,,0.0,51,0,0.0,,	,	,	,,,,	,,,,,,荣造	,2025-12-29 15:50:18,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZRWZJZXM6ZN25	,荣造舰载熊猫6周年限定款	,,	,,荣造仓	,72,,0.0,72, 	,0.0,0,,0.0,72,0,0.0,,	,	,	,,,,	,,,,,,荣造	,2025-12-29 15:50:18,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,6,117,117,117
RZ256ZH3004000	,空战系列套装章	,,	,,残次仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ256ZH3004000	,	,	,,,,	,,,,,,荣造	,2025-12-11 16:29:28,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ256Z7374000	,王牌飞行系列头盔章-空	,,	,,残次仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ256Z7374000	,	,	,,,,	,,,,,,荣造	,2025-11-03 17:13:18,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZGZPJJZXM00125	,舰载熊猫公仔配件001	,,	,,荣造仓	,1994,,0.0,1994, 	,0.0,0,,0.0,1994,0,0.0,,	,	,	,,,,	,,,,,,荣造	,2025-12-26 12:03:33,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,3,6,6,6
RZRWZBWFM25	,丙午飞马章	,,	,,荣造仓	,387,,0.0,386, 	,0.0,0,,1.0,386,0,0.0,,	,	,	,,,,	,,,,,,荣造	,2025-12-29 15:23:04,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,14,80,80,80
RZ253J02555XL5	,指挥员系列飞行夹克-5XL	,,	,,北京仓	,2,,0.0,2, 	,0.0,0,,0.0,2,0,0.0,,RZ253J02555XL5	,	,	,,,,	,,,,,,荣造	,2025-11-04 17:54:47,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ254Y0115006502	,山东舰中款羽绒服-2XL	,,	,,残次仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ254Y0115006502	,	,	,,,,	,,,,,,荣造	,2025-03-18 16:35:18,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ253J0255XL5	,指挥员系列飞行夹克-XL	,,	,,北京仓	,4,,0.0,4, 	,0.0,0,,0.0,4,0,0.0,,RZ253J0255XL5	,	,	,,,,	,,,,,,荣造	,2025-11-04 17:54:47,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ225M5001058524	,福建舰舰帽3号-58	,,	,,公司仓	,15,,0.0,15, 	,0.0,0,,0.0,15,0,0.0,,RZ225M5001058524	,	,	,,,舰帽	,	,,,,,,荣造	,2022-08-03 16:28:38,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ253J02552XL5	,指挥员系列飞行夹克-2XL	,,	,,北京仓	,2,,0.0,2, 	,0.0,0,,0.0,2,0,0.0,,RZ253J02552XL5	,	,	,,,,	,,,,,,荣造	,2025-11-04 17:54:46,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ256ZH3003000	,航母系列套装章	,,	,,北京仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ256ZH3003000	,	,	,,,,	,,,,,,荣造	,2025-12-11 16:27:27,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ256Z72302	,舰载熊猫公仔-红马甲	,,	,,公司仓	,0,,0.0,0, 	,0.0,0,,0.0,0,0,0.0,,RZ256Z72302	,	,	,,,,	,,,,,,,2025-04-02 16:25:37,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ256Z73229940	,PVC装金属尾翼-白色	,,	,,公司仓	,62,,0.0,62, 	,0.0,0,,0.0,62,0,0.0,,RZ256Z73229940	,	,	,,,,	,,,,,,荣造	,2025-10-10 16:02:05,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ256Z73229942	,PVC装金属尾翼-红色	,,	,,公司仓	,79,,0.0,79, 	,0.0,0,,0.0,79,0,0.0,,RZ256Z73229942	,	,	,,,,	,,,,,,荣造	,2025-10-10 15:59:03,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ256Z73229948	,PVC装金属尾翼-绿色	,,	,,公司仓	,50,,0.0,50, 	,0.0,0,,0.0,50,0,0.0,,RZ256Z73229948	,	,	,,,,	,,,,,,荣造	,2025-10-10 16:02:05,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ256Z73219942	,礼盒装金属尾翼-红色	,,	,,公司仓	,51,,0.0,51, 	,0.0,0,,0.0,51,0,0.0,,RZ256Z73219942	,	,	,,,,	,,,,,,荣造	,2025-10-10 15:51:58,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ256ZH3004000	,空战系列套装章	,,	,,公司仓	,8,,0.0,8, 	,0.0,0,,0.0,8,0,0.0,,RZ256ZH3004000	,	,	,,,,	,,,,,,荣造	,2025-12-11 16:29:28,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ256Z73219940	,礼盒装金属尾翼-白色	,,	,,公司仓	,76,,0.0,76, 	,0.0,0,,0.0,76,0,0.0,,RZ256Z73219940	,	,	,,,,	,,,,,,荣造	,2025-10-10 15:59:02,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ256Z7321994106	,礼盒装金属尾翼-黑色	,,	,,公司仓	,79,,0.0,79, 	,0.0,0,,0.0,79,0,0.0,,RZ256Z7321994106	,	,	,,,,	,,,,,,荣造	,2025-10-10 15:59:03,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ256Z73219948	,礼盒装金属尾翼-绿色	,,	,,公司仓	,79,,0.0,79, 	,0.0,0,,0.0,79,0,0.0,,RZ256Z73219948	,	,	,,,,	,,,,,,荣造	,2025-10-10 15:57:01,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ256Z7322994106	,PVC装金属尾翼-黑色	,,	,,公司仓	,55,,0.0,55, 	,0.0,0,,0.0,55,0,0.0,,RZ256Z7322994106	,	,	,,,,	,,,,,,荣造	,2025-10-10 16:02:05,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ252M5086058101	,长春空军帽-58CM	,,	,,公司仓	,68,,0.0,68, 	,0.0,0,,0.0,68,0,0.0,,RZ252M5086058101	,	,	,,,,	,,,,,,荣造	,2025-08-08 11:45:06,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ254Y0116M524	,山东舰长款羽绒服-M	,,	,,北京仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ254Y0116M524	,长款羽绒服	,	,,,,	,,,,,,荣造	,2025-11-03 14:58:04,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ253J02553XL5	,指挥员系列飞行夹克-3XL	,,	,,北京仓	,2,,0.0,2, 	,0.0,0,,0.0,2,0,0.0,,RZ253J02553XL5	,	,	,,,,	,,,,,,荣造	,2025-11-04 17:54:46,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ245M5049524	,空军纪念帽	,,	,,公司仓	,53,,0.0,53, 	,0.0,0,,0.0,53,0,0.0,,RZ245M5049524	,	,	,,,,	,,,,,,荣造	,2024-11-12 14:28:42,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ253J02554XL5	,指挥员系列飞行夹克-4XL	,,	,,北京仓	,3,,0.0,3, 	,0.0,0,,0.0,3,0,0.0,,RZ253J02554XL5	,	,	,,,,	,,,,,,荣造	,2025-11-04 17:54:47,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
RZ241W0207L524	,福建舰经典飞行夹克-L	,,	,,公司仓	,1,,0.0,1, 	,0.0,0,,0.0,1,0,0.0,,RZ241W0207L524	,	,	,,,,	,,,,,,荣造	,2024-10-25 14:13:23,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0,0,0,0
